科室名称,医疗服务收入占比,耗材占医疗收入比例,门诊收入占医疗收入比例,门诊收入来自医保基金比例,住院收入占医疗收入比例,住院收入来自医保基金比例,门诊次均药品费用,门诊次均费用,住院次均费用,住院次均药品费用,全年绩效总分
儿科,0.37523333333333336,0.034633333333333335,0.3662666666666667,0.019366666666666667,0.6337333333333334,0.08623333333333333,115.80666666666667,285.5266666666667,8337.536666666667,2010.3866666666665,0.2088103887309754
耳鼻咽喉头颈外科,0.21266666666666667,0.1473,0.5089333333333333,0.07456666666666667,0.4910666666666667,0.21836666666666668,121.52666666666666,277.2,12375.573333333334,1842.4866666666667,0.2126434903368366
风湿免疫科,0.2613666666666667,0.015533333333333335,0.41039999999999993,0.16883333333333336,0.5896,0.41573333333333334,370.96000000000004,504.6933333333333,10685.226666666667,2234.563333333333,0.2324007623497101
妇产科,0.36920000000000003,0.0459,0.7313666666666666,0.0867,0.26863333333333334,0.4543333333333333,204.62,777.8966666666666,6986.39,769.3766666666667,0.2992499024163166
肝胆外科,0.2266,0.11373333333333334,0.26363333333333333,0.35366666666666663,0.7363666666666666,0.4574,603.63,925.3433333333334,23792.23,7300.203333333334,0.4008566912864878
高压氧康复科,0.8019,0.0351,0.06766666666666667,0.07326666666666667,0.9323333333333333,0.12833333333333333,89.25999999999999,598.2166666666667,34400.21,2457.7066666666665,0.4005290409571186
骨科,0.26689999999999997,0.42250000000000004,0.15923333333333334,0.040100000000000004,0.8407666666666667,0.23606666666666665,180.10333333333332,422.75666666666666,37556.636666666665,2768.6200000000003,0.2987761237731525
呼吸内科,0.23016666666666666,0.0489,0.23129999999999998,0.2634666666666667,0.7686999999999999,0.6239666666666667,196.46333333333334,349.36999999999995,22716.55,9733.956666666667,0.3025857737845865
康复医学科,0.26689999999999997,0.42250000000000004,0.15923333333333334,0.040100000000000004,0.8407666666666667,0.23606666666666665,180.10333333333332,422.75666666666666,37556.636666666665,2768.6200000000003,0.2987761237731525
口腔科,0.5523666666666668,0.1522,0.8490333333333333,0.056,0.15096666666666667,0.28163333333333335,9.49,369.1666666666667,11804.163333333332,1743.3633333333335,0.3287330398211745
泌尿外科,0.20320000000000002,0.2482333333333333,0.5121666666666667,0.29496666666666665,0.48783333333333334,0.32570000000000005,430.1966666666667,692.36,17405.853333333333,1601.92,0.325654326764803
内分泌科,0.13393333333333332,0.036533333333333334,0.6094333333333334,0.4444333333333333,0.3905666666666667,0.5778333333333333,261.1566666666667,357.1966666666667,10168.063333333334,1647.3833333333332,0.2811322163499155
皮肤科,0.5076333333333334,0.01813333333333333,0.894,0.024900000000000002,0.106,0.11273333333333334,155.52666666666664,373.00333333333333,8209.043333333333,2098.5866666666666,0.2370843103773192
普通外科,0.19333333333333336,0.35980000000000006,0.17433333333333334,0.27163333333333334,0.8256666666666667,0.3704,212.95333333333335,402.46999999999997,22314.23,4928.586666666666,0.3140861782617427
全科医学科,0.30966666666666665,0.037200000000000004,0.21816666666666665,0.36780000000000007,0.7818333333333333,0.3932333333333333,228.17666666666665,379.8,13339.07,2547.23,0.3038118325434025
烧伤整形科,0.6922,0.18843333333333334,0.6934999999999999,0.014033333333333333,0.3065,0.26813333333333333,42.266666666666666,760.59,15979.12,1151.2766666666666,0.3681620615278826
神经内科,0.15626666666666666,0.015833333333333335,0.36133333333333334,0.23676666666666665,0.6386666666666667,0.5095333333333333,173.6933333333333,343.29333333333335,10267.483333333332,1879.4766666666667,0.230093741143997
神经外科,0.22596666666666668,0.3346,0.13413333333333333,0.29733333333333334,0.8658666666666667,0.5240666666666667,499.79333333333335,736.6700000000001,65970.03333333334,11937.69,0.4495121228582984
肾脏病科,0.3226,0.0796,0.5174333333333333,0.5850666666666667,0.48256666666666664,0.5277666666666666,426.8533333333333,880.46,11414.756666666666,3132.67,0.4201075909077748
消化内科,0.22333333333333336,0.1114,0.4273,0.1555,0.5727000000000001,0.38786666666666664,197.32333333333335,428.08,11481.409999999998,2890.31,0.2696452102320198
心胸外科,0.24439999999999998,0.36673333333333336,0.1065,0.32506666666666667,0.8935,0.48616666666666664,271.0733333333333,519.5766666666667,30846.486666666668,4910.466666666666,0.3788981186166706
心血管内科,0.17759999999999998,0.3122,0.2815666666666667,0.3922333333333334,0.7184333333333334,0.5084666666666666,260.47333333333336,426.94,29118.053333333333,4877.156666666667,0.3424610790096312
心脏外科,0.2648333333333333,0.3904,0.020733333333333336,0.2568666666666667,0.9792666666666667,0.5603333333333333,165.67666666666668,391.43666666666667,81651.25666666665,17114.873333333333,0.4686295024569833
血液科,0.1919,0.024300000000000002,0.06913333333333334,0.34933333333333333,0.9308666666666667,0.4054,1046.9233333333334,1308.8433333333335,62730.33666666667,38858.33666666666,0.4372448814556868
眼科,0.3302333333333333,0.08816666666666667,0.4597,0.07586666666666668,0.5403,0.4514666666666667,70.31,242.05666666666664,8732.253333333334,1242.5533333333333,0.2733752734027201
中医科,0.249,0.018666666666666668,0.6675666666666666,0.19366666666666665,0.3324333333333333,0.3725333333333333,249.86333333333334,308.91,12385.243333333334,1590.2466666666667,0.2543487473686661
肿瘤科,0.3419666666666667,0.05753333333333333,0.0657,0.32266666666666666,0.9343,0.4892,499.9633333333333,732.8533333333334,16576.69,6665.046666666666,0.4047239278336583
